character_id,name,real_name,publisher_id,alignment,first_appeared,description
1,Neoman,Patricia Davis,5,Antihero,1998-09-17,"Master of the arcane arts, wielder of forbidden knowledge."
2,Megaveil,James Williams,7,Hero,1992-01-04,A vigilante who operates outside the law to protect the innocent.
3,Alphastar,Nancy White,8,Villain,1962-12-16,A vigilante who operates outside the law to protect the innocent.
4,Steelmind,John Miller,11,Hero,1972-02-01,A former soldier seeking redemption through heroic deeds.
5,Solarforce,Maria Harris,18,Hero,2020-09-28,A mercenary with a strict personal code of honor.
6,Megalance,Lisa Thomas,19,Hero,1944-03-29,A vigilante who operates outside the law to protect the innocent.
7,Blazeshield,,8,Antihero,1972-02-07,"Once a villain, now fighting for the side of good."
8,Voltforce,Susan Miller,9,Antihero,1999-04-29,A former soldier seeking redemption through heroic deeds.
9,Quantumwing,Patricia Garcia,15,Hero,2021-01-08,"Master of the arcane arts, wielder of forbidden knowledge."
10,Blazestorm,,2,Hero,1940-11-17,The last survivor of a destroyed civilization seeking justice.
11,Froststrike,Charles Anderson,7,Villain,1973-06-30,"Raised in secret, now unleashed upon a world unprepared."
12,Ironstrike,Nancy Young,9,Antihero,1976-06-08,"Driven by tragedy, defined by an unbreakable will."
13,Frostforce,John Thompson,16,Hero,1942-03-24,A former soldier seeking redemption through heroic deeds.
14,Ironwing,,14,Villain,1972-07-09,A mercenary with a strict personal code of honor.
15,Quantumclaw,Nancy Smith,4,Villain,1986-03-05,"Once a villain, now fighting for the side of good."
16,Thunderblade,Linda Harris,1,Neutral,2016-07-29,"Once a villain, now fighting for the side of good."
17,Omegawing,Sarah Taylor,17,Villain,1951-09-18,The last survivor of a destroyed civilization seeking justice.
18,Steellance,,17,Neutral,1991-09-26,The last survivor of a destroyed civilization seeking justice.
19,Titanman,Susan Taylor,8,Hero,2016-10-08,"Driven by tragedy, defined by an unbreakable will."
20,Megahawk,David Young,5,Hero,1980-08-22,"Master of the arcane arts, wielder of forbidden knowledge."
21,Steelstrike,Lisa White,7,Neutral,2005-10-04,"Gifted with powers beyond comprehension, burdened by their weight."
22,Neonhunter,,12,Villain,1984-06-07,"Raised in secret, now unleashed upon a world unprepared."
23,Neofire,William Smith,19,Villain,1990-10-17,"Gifted with powers beyond comprehension, burdened by their weight."
24,Ultrahawk,Maria Davis,3,Neutral,2015-02-14,The last survivor of a destroyed civilization seeking justice.
25,Megaarrow,Karen Miller,18,Hero,2021-12-05,"Driven by tragedy, defined by an unbreakable will."
26,Plasmabolt,Karen White,7,Hero,1997-02-13,A mercenary with a strict personal code of honor.
27,Solarmind,Maria Brown,2,Villain,1968-06-10,A former soldier seeking redemption through heroic deeds.
28,Blazestar,Joseph Jones,14,Hero,1979-07-04,"Gifted with powers beyond comprehension, burdened by their weight."
